Customer_id,Age,Income_level,Number_of_credit_cards,Education,Car_loans,Credit_rating
A00000001,36,Medium,5 or more,College,More than 2,Bad
A00000002,22,Medium,5 or more,College,More than 2,Bad
A00000003,29,Low,5 or more,High school,More than 2,Bad
A00000004,33,Low,5 or more,College,None or 1,Bad
A00000005,37,Medium,5 or more,College,More than 2,Bad
A00000006,39,,5 or more,College,More than 2,Bad
A00000007,32,Medium,5 or more,College,More than 2,Bad
A00000008,35,Low,5 or more,High school,More than 2,Bad
A00000009,32,Low,5 or more,High school,More than 2,Bad
A00000010,25,Medium,5 or more,College,More than 2,Bad
A00000011,23,Low,5 or more,College,More than 2,Bad
A00000012,46,Low,5 or more,High school,More than 2,Bad
A00000013,29,Medium,5 or more,High school,More than 2,Bad
A00000014,29,Low,5 or more,College,None or 1,Bad
A00000015,40,Low,5 or more,High school,More than 2,Bad
A00000016,39,Low,5 or more,College,More than 2,Bad
A00000017,34,Low,5 or more,College,More than 2,Bad
A00000018,36,Medium,5 or more,College,More than 2,Bad
A00000019,36,Medium,5 or more,College,More than 2,Bad
A00000020,26,High,5 or more,College,More than 2,Bad
A00000021,22,Low,5 or more,College,More than 2,Bad
A00000022,29,Medium,5 or more,High school,More than 2,Bad
A00000023,23,Low,5 or more,College,More than 2,Bad
A00000024,43,Medium,5 or more,College,More than 2,Bad
A00000025,20,Medium,5 or more,High school,More than 2,Bad
A00000026,28,,5 or more,High school,More than 2,Bad
A00000027,29,Medium,5 or more,College,More than 2,Bad
A00000028,30,Medium,5 or more,High school,More than 2,Bad
A00000029,25,Medium,5 or more,College,More than 2,Bad
A00000030,40,Low,5 or more,College,None or 1,Bad
A00000031,21,Low,5 or more,College,More than 2,Bad
A00000032,23,Low,5 or more,High school,More than 2,Bad
A00000033,33,Medium,5 or more,High school,More than 2,Bad
A00000034,33,Medium,5 or more,High school,More than 2,Bad
A00000035,28,High,5 or more,High school,None or 1,Bad
A00000036,21,Medium,5 or more,College,More than 2,Bad
A00000037,29,Medium,5 or more,College,More than 2,Bad
