,Unnamed: 0,ASB,Burglary,Robbery,Vehicle,Violent,Shoplifting,CD&A,Other Theft,Drugs,Bike Theft,Theft From the Person,Weapons,Public Order,Other,Total
0,Jan 2018,104434,39153,6646,40136,127619,30682,47209,41645.0,11435.0,5522.0,7137.0,3358.0,28129.0,8182.0,501287.0
1,Dec 2017,106217,35788,6441,35384,125386,27410,46498,41035.0,10555.0,4918.0,8779.0,2956.0,27545.0,7074.0,485986.0
2,Nov 2017,116611,39468,7131,40112,127054,33340,50863,43783.0,11473.0,7910.0,9206.0,3337.0,30628.0,8025.0,528941.0
3,Oct 2017,146154,38204,6949,41610,132631,32286,54207,44826.0,11691.0,9361.0,8439.0,3524.0,33766.0,8063.0,571711.0
4,Sep 2017,131329,35636,6156,40270,121923,31278,46812,43484.0,10559.0,9329.0,7405.0,3267.0,31283.0,7538.0,526269.0
5,Aug 2017,155120,35856,6333,38118,124814,33078,50614,47051.0,11371.0,9795.0,8340.0,3433.0,33487.0,7613.0,565023.0
6,Jul 2017,159429,35354,6546,37772,136285,31909,50466,47045.0,11313.0,10272.0,8512.0,3574.0,36002.0,7872.0,582351.0
7,Jun 2017,151225,34158,5898,36742,130643,31364,48385,45369.0,10157.0,9381.0,7720.0,3533.0,33965.0,7639.0,556179.0
8,May 2017,152386,34213,5972,38102,126886,33698,51150,45666.0,10698.0,8914.0,7742.0,3487.0,31041.0,7534.0,557489.0
9,Apr 2017,153682,32367,5791,36128,110971,31592,50530,42381.0,10057.0,7770.0,7303.0,3027.0,27380.0,6642.0,525621.0
10,Mar 2017,142867,37245,5928,39191,119936,34282,49755,44430.0,11345.0,7111.0,8235.0,3235.0,28260.0,7992.0,539812.0
11,Feb 2017,118382,34480,4944,34127,101179,30884,43867,38628.0,9674.0,5720.0,6942.0,2733.0,22745.0,6912.0,461217.0
12,Jan 2017,119973,37825,5261,35818,105259,30427,45512,39239.0,10423.0,5845.0,6866.0,2633.0,21841.0,7012.0,473934.0
13,Dec 2016,123164,36954,5310,34548,106661,29617,46817,40510.0,10650.0,5888.0,8348.0,2539.0,22131.0,6314.0,479451.0
14,Nov 2016,126876,36788,5009,37097,101999,31111,46613,41449.0,10467.0,7759.0,7852.0,2608.0,22025.0,6616.0,484269.0
15,Oct 2016,163803,34538,5307,36549,107140,30595,50315,42172.0,10998.0,9854.0,7157.0,2926.0,24791.0,6314.0,532459.0
16,Sep 2016,161919,32764,4816,34355,104013,30184,45367,42632.0,10163.0,9170.0,6574.0,2698.0,23781.0,6087.0,514523.0
17,Aug 2016,176713,32972,4777,33325,100239,30438,47043,44388.0,10850.0,8891.0,6782.0,2654.0,22964.0,5493.0,527529.0
18,Jul 2016,182160,31429,4693,31662,105869,29478,47141,43532.0,11422.0,8327.0,7038.0,2826.0,24386.0,5922.0,535885.0
19,Jun 2016,162233,30754,4325,30262,101465,29741,44702,41832.0,10556.0,7362.0,6653.0,2596.0,22274.0,5991.0,500746.0
20,May 2016,163949,31142,4345,31131,103727,29541,47656,42012.0,11690.0,7181.0,6545.0,2554.0,21321.0,6173.0,508967.0
21,Apr 2016,142673,30709,4008,30060,93502,30492,44410,39011.0,11420.0,5922.0,6093.0,2330.0,18712.0,5877.0,465219.0
22,Mar 2016,139511,33713,4276,30958,95279,29625,46280,38442.0,11349.0,5512.0,6734.0,2292.0,18149.0,5837.0,467957.0
23,Feb 2016,125204,32836,4084,29566,86869,28602,43004,36137.0,10819.0,4775.0,6453.0,2140.0,15821.0,5558.0,431868.0
24,Jan 2016,123013,34831,4489,30799,90484,26399,42624,35247.0,11741.0,5031.0,6395.0,2121.0,15743.0,5522.0,434439.0
25,Dec 2015,123721,35006,4339,30809,91407,25973,44877,37576.0,11237.0,4984.0,7416.0,2020.0,16061.0,5024.0,440450.0
26,Nov 2015,131076,37340,4368,32416,89026,27447,44722,39527.0,11632.0,6877.0,7215.0,2177.0,16128.0,5225.0,455176.0
27,Oct 2015,160783,34351,4474,32264,90060,28462,46711,40696.0,12329.0,8351.0,6880.0,2320.0,16663.0,5305.0,489649.0
28,Sep 2015,149077,31537,4094,29978,85229,26280,42380,39671.0,11393.0,7995.0,5957.0,1974.0,16110.0,5029.0,456704.0
29,Aug 2015,174959,31739,4198,29654,86678,26929,44439,41713.0,12246.0,7757.0,6123.0,2159.0,16368.0,4632.0,489594.0
30,Jul 2015,179302,31901,4215,29533,93095,27615,44933,44365.0,12277.0,8160.0,6177.0,2170.0,17958.0,5177.0,506878.0
31,Jun 2015,169237,31566,3966,30054,87373,27305,44232,42866.0,12263.0,7896.0,5897.0,2089.0,16915.0,5007.0,486666.0
32,May 2015,160975,32370,4244,30534,84206,28689,44993,42070.0,11955.0,7173.0,6616.0,1945.0,15537.0,4725.0,476032.0
